id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,desciription,imageDescription
46,bramble,Alcoholic,ordinary drink,old-fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,"['gin','lemon juice','sugar syrup','creme de mure']","['4 cl','1.5 cl','1 cl','1.5 cl']","The Bramble is a classic sour, a family of cocktails featuring a spirit, citrus juice, and sweetener. Born in 1984 at the The Harp pub in London, it��s credited to Dick Bradsell, who wanted a simple, yet elegant drink featuring creme de mure (blackberry liqueur).","The cocktails are a vibrant pink-red with a garnish of blackberries and a lemon twist on each, served in a cut-glass rocks glass that reflects light beautifully."
47,balmoral,Alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,"['scotch','sweet vermouth','dry vermouth','bitters']","['1 1/2 oz','1/2 oz','1/2 oz','2 dashes']","The Balmoral is a classic variation of the Manhattan, belonging to the esteemed family of whiskey-based cocktails. While its exact origins remain shrouded in mystery, it��s likely to have emerged in the early 20th century, possibly named after the iconic Scottish castle.","The cocktail features a deep amber liquid with ice cubes and is garnished with a twist of orange peel and a straw for easy sipping. It's served in a rocks glass, showcasing a classic and sophisticated presentation."
48,bluebird,Alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,"['gin','triple sec','blue curacao','bitters','maraschino cherry','lemon peel']","['1 1/2 oz','1/2 oz','1/2 oz','2 dashes','1','1 twist of']","The Bluebird is a vibrant twist on the classic Gin Sour family. While its precise origins are unclear, it likely emerged in the mid-20th century, drawing inspiration from the popularity of blue cura?ao and other vibrant liqueurs. Its combination of citrus, gin, and bitters creates a refreshingly tart and slightly bitter cocktail, ideal for a summer afternoon.","The vibrant blue cocktail is served in a classic martini glass, its bright color standing out against the neutral countertop. A simple sugar rim decorates the glass, adding a touch of elegance to the drink."
49,brooklyn,Alcoholic,cocktail,cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,"['rye whiskey','dry vermouth','maraschino liqueur','angostura bitters','maraschino cherry']","['2 oz','1 oz','1/4 oz','3 dashes','1']","The Brooklyn is a classic Manhattan variation, hailing from the 19th century. This rye-based cocktail, sweetened with dry vermouth and a touch of maraschino, boasts a complex flavor profile balanced by bitter notes from Angostura bitters. It��s a sophisticated choice for any occasion.","The cocktail in a martini glass presents a striking reddish-brown hue, accented with a dark cherry garnish on the rim, creating a visually appealing drink."
50,bora bora,Non alcoholic,cocktail,highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,"['pineapple juice','passion fruit juice','lemon juice','grenadine']","['10 cl','6 cl','1 cl','1 cl']","The Bora Bora is a vibrant tropical cocktail belonging to the?Sour family. Though its exact origin is unknown, it likely emerged in the 1980s, capturing the essence of Polynesian paradise with its bright, tangy flavors.","The cocktail is vibrant yellow-orange, likely a tropical fruit juice mix, served in a tall highball glass. It is garnished with a slice of orange and a slice of lemon, accompanied by a pink cube of what appears to be watermelon, enhancing its summery aesthetic."
51,boomerang,Alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,"['gin','dry vermouth','bitters','maraschino liqueur','maraschino cherry']","['2 oz','1/2 oz','2 dashes','1/2 tsp','1']","The Boomerang is a classic Martini variation, a member of the Martini Family. It��s a twist on the traditional Gin Martini, adding the sweetness of Maraschino Liqueur and the cherry��s flourish for a more playful, yet sophisticated, profile. The exact origin is unclear, likely a bar creation from the mid-20th century.","The cocktail is a rich golden brown, featuring a lemon twist garnish elegantly placed along its edge in a classic martini glass."
52,barracuda,Alcoholic,ordinary drink,margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,"['rum','galliano','pineapple juice','lime juice','prosecco']","['4.5 cl','1.5 cl','6 cl','1 dash','top up']","The Barracuda is a vibrant, tropical concoction that belongs to the?Rum Punch?family. It likely originated in the Caribbean, where rum, pineapple, and lime are staples, with the addition of Galliano adding a distinct Italian flair.",The cocktail features a vibrant orange hue served in a tropical-style glass adorned with a pineapple wedge and a yellow cocktail umbrella for a summer theme.
53,brigadier,Alcoholic,cocktail,coupe glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,"['hot chocolate','green chartreuse','cherry heering']","['4 oz','1 oz','1 oz']","The Brigadier, a unique blend of hot chocolate, Green Chartreuse, and Cherry Heering, defies easy categorization. It��s likely a modern invention, drawing inspiration from the warm, comforting flavors of traditional hot chocolate and the herbal, bittersweet notes of Chartreuse.",The cocktail__�____�_�_��_���_��油�_泡沫�_����__�__檬�_�__被�__�个深�_����_�__���_����_�__
54,broadside,Alcoholic,cocktail,highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,"['151 proof rum','scotch','bitters','wormwood','ice']","['1 shot','1/2 shot','3 drops','1 fresh','cubes']","The Broadside, with its potent rum and scotch base, belongs to the robust world of?highball cocktails. Its origins likely stem from the 19th century, reflecting the era��s fascination with strong spirits and bold flavors. The use of wormwood, a key ingredient in absinthe, hints at the cocktail��s connection to the historical death in the afternoon era.","The cocktail is served in a classic rocks glass filled with large ice cubes, showcasing a light amber hue that suggests a sweet or spiced flavor. It_ elegantly garnished with a lemon twist perched on the rim, adding a burst of citrus to the drink."
55,brain fart,Alcoholic,punch / party drink,punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,"['everclear','vodka','mountain dew','surge','lemon juice','rum']","['1 fifth','1 fifth smirnoff red label','2 l','2 l','1 small bottle','1 pint']","The Brain Hemorrhage Shot is a bold and creepy drink that��s perfect for Halloween or any fun night with a wild theme. It starts with sweet peach schnapps, then gets a splash of Irish cream that curdles slightly to form a brain-like texture. A dash of grenadine adds the final touch, creating a spooky, layered look that always grabs attention. It��s easy to make and even easier to serve at themed parties. Whether you��re hosting a Halloween bash or just want something different, this shot is sure to impress with its weird look and sweet, smooth flavor.","The vibrant green cocktail in the large bowl and smaller glasses is likely a Melon Baller, characterized by its bright hue and delicate layering in the martini glass, suggesting a fresh, tropical flavor profile. Each glass is elegantly rimmed with sugar, adding a touch of sweetness and enhancing the drink's visual appeal."
56,blackthorn,Alcoholic,ordinary drink,cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg,"['sweet vermouth','sloe gin','lemon peel']","['1 oz','1 1/2 oz','1 twist of']","The Blackthorn, a simple yet elegant blend of sweet vermouth, sloe gin, and lemon peel, belongs to the classic?Old Fashioned?family. Its origin remains shrouded in mystery, but its bold, bittersweet character likely emerged from the rich history of British cocktail culture.",The cocktail__�____��_�_���__��__��__�__�__��
57,bob marley,Alcoholic,shot,shot glass,Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,"['midori melon liqueur','jagermeister','goldschlager']","['1/2 oz','1/2 oz','1/2 oz']","The ""Bob Marley"" cocktail is a vibrant and reggae-inspired libation that pays homage to the legendary Jamaican musician's colorful and soulful legacy. Much like his music, this cocktail is a true celebration of life and love, offering a medley of flavors and colors that dance together in perfect harmony. The ""Bob Marley"" cocktail is a joyful representation of the tropical spirit, featuring three distinct layers that mirror the iconic red, yellow, and green of the Rastafarian flag. As you sip this tropical masterpiece, you'll be transported to a world of good vibes and island rhythms, making it the perfect choice for anyone looking to infuse their evening with a bit of reggae spirit.","This layered shot glass showcases vibrant bands of green, yellow, and red liquids, suggesting a visually striking cocktail, perhaps a Tropical Twist Shooter. The absence of visible garnish or additional elements highlights the purity of each color layer as its centerpiece."
